currency,date,closing,open,high,low,Rolling_Avg_7
BTC,2013-12-11,967.42866,916.77599,1004.93666,900.68016,927.7790871428571
BTC,2013-12-12,866.29003,967.42866,975.62383,832.22683,931.2719971428571
BTC,2013-12-12,866.29003,967.42866,975.62383,832.22683,924.0597171428572
BTC,2013-12-12,866.29003,967.42866,975.62383,832.22683,916.8474371428572
BTC,2013-12-13,911.23204,866.29003,919.30033,843.4055,916.0554442857143
BTC,2013-12-13,911.23204,866.29003,919.30033,843.4055,908.0273557142857
BTC,2013-12-13,911.23204,866.29003,919.30033,843.4055,899.9992671428571
BTC,2013-12-14,889.81946,911.23204,933.17016,859.44999,888.9122385714287
BTC,2013-12-14,889.81946,911.23204,933.17016,859.44999,892.2735857142858
BTC,2013-12-14,889.81946,911.23204,933.17016,859.44999,895.6349328571429
BTC,2013-12-15,848.9975,889.81946,897.30915,848.25583,893.1645714285714
BTC,2013-12-15,848.9975,889.81946,897.30915,848.25583,884.2739228571428
BTC,2013-12-15,848.9975,889.81946,897.30915,848.25583,875.3832742857143
BTC,2013-12-16,868.95316,848.9975,886.23583,819.43828,869.3434342857144
BTC,2013-12-16,868.95316,848.9975,886.23583,819.43828,866.3625342857142
BTC,2013-12-16,868.95316,848.9975,886.23583,819.43828,863.3816342857143
BTC,2013-12-17,653.80483,868.95316,876.21516,636.15056,829.6652585714286
BTC,2013-12-17,653.80483,868.95316,876.21516,636.15056,801.7805914285715
BTC,2013-12-17,653.80483,868.95316,876.21516,636.15056,773.8959242857144
BTC,2013-12-18,654.06266,653.80483,757.02366,647.62209,746.04809
BTC,2013-12-18,654.06266,653.80483,757.02366,647.62209,715.3494471428572
BTC,2013-12-18,654.06266,653.80483,757.02366,647.62209,684.6508042857142
BTC,2013-12-19,553.69166,654.06266,654.06266,422.497,639.6134471428571
BTC,2013-12-19,553.69166,654.06266,654.06266,422.497,625.3115657142856
BTC,2013-12-19,553.69166,654.06266,654.06266,422.497,611.0096842857143
BTC,2013-12-20,693.05883,553.69166,710.3255,545.53966,616.6173985714286
BTC,2013-12-20,693.05883,553.69166,710.3255,545.53966,622.18828
BTC,2013-12-20,693.05883,553.69166,710.3255,545.53966,627.7591614285714
BTC,2013-12-21,649.38965,693.05883,733.23666,598.06131,627.0915885714285
BTC,2013-12-21,649.38965,693.05883,733.23666,598.06131,640.76273
BTC,2013-12-21,649.38965,693.05883,733.23666,598.06131,654.4338714285714
BTC,2013-12-22,595.95883,649.38965,651.8435,580.72816,660.4720385714285
BTC,2013-12-22,595.95883,649.38965,651.8435,580.72816,646.6006100000001
BTC,2013-12-22,595.95883,649.38965,651.8435,580.72816,632.7291814285715
BTC,2013-12-23,647.68316,595.95883,671.59166,594.36595,626.2469428571429
BTC,2013-12-23,647.68316,595.95883,671.59166,594.36595,626.0031585714286
BTC,2013-12-23,647.68316,595.95883,671.59166,594.36595,625.7593742857143
BTC,2013-12-24,671.58116,647.68316,685.3675,632.5431,628.92959
BTC,2013-12-24,671.58116,647.68316,685.3675,632.5431,639.73278
BTC,2013-12-24,671.58116,647.68316,685.3675,632.5431,650.53597
BTC,2013-12-25,659.84333,671.58116,675.614,645.78333,659.6623271428572
BTC,2013-12-25,659.84333,671.58116,675.614,645.78333,661.3994942857142
BTC,2013-12-25,659.84333,671.58116,675.614,645.78333,663.1366614285714
BTC,2013-12-26,702.00083,659.84333,720.22498,651.53,670.8963285714286
BTC,2013-12-26,702.00083,659.84333,720.22498,651.53,675.2419957142857
BTC,2013-12-26,702.00083,659.84333,720.22498,651.53,679.5876628571428
BTC,2013-12-27,758.01016,702.00083,780.93666,698.07,691.9346628571429
BTC,2013-12-27,758.01016,702.00083,780.93666,698.07,705.9584957142857
BTC,2013-12-27,758.01016,702.00083,780.93666,698.07,719.9823285714285
BTC,2013-12-28,734.01166,758.01016,772.90666,723.98666,730.5778042857144
BTC,2013-12-28,734.01166,758.01016,772.90666,723.98666,735.15078
BTC,2013-12-28,734.01166,758.01016,772.90666,723.98666,739.7237557142859
BTC,2013-12-29,717.92623,734.01166,753.83333,705.1025,741.998812857143
BTC,2013-12-29,717.92623,734.01166,753.83333,705.1025,736.2725371428571
BTC,2013-12-29,717.92623,734.01166,753.83333,705.1025,730.5462614285715
BTC,2013-12-30,752.82022,717.92623,759.6362,713.751,729.8048414285714
BTC,2013-12-30,752.82022,717.92623,759.6362,713.751,732.4917785714287
BTC,2013-12-30,752.82022,717.92623,759.6362,713.751,735.1787157142857
BTC,2013-12-31,744.17249,752.82022,763.83,743.7,736.6302628571428
BTC,2013-12-31,744.17249,752.82022,763.83,743.7,740.3797285714285
BTC,2013-12-31,744.17249,752.82022,763.83,743.7,744.1291942857142
BTC,2014-01-01,768.40783,744.17249,772.959,733.19433,751.3408514285713
BTC,2014-01-01,768.40783,744.17249,772.959,733.19433,753.5676528571429
BTC,2014-01-01,768.40783,744.17249,772.959,733.19433,755.7944542857143
BTC,2014-01-02,769.09849,768.40783,774.26333,750.52516,758.1199214285714
BTC,2014-01-02,769.09849,768.40783,774.26333,750.52516,761.6807785714285
BTC,2014-01-02,769.09849,768.40783,774.26333,750.52516,765.2416357142857
BTC,2014-01-03,804.02719,769.09849,826.34166,768.15367,773.7923071428571
BTC,2014-01-03,804.02719,769.09849,826.34166,768.15367,778.8807871428571
BTC,2014-01-03,804.02719,769.09849,826.34166,768.15367,783.9692671428571
BTC,2014-01-04,813.31748,804.02719,839.85833,798.11833,790.3849314285715
BTC,2014-01-04,813.31748,804.02719,839.85833,798.11833,796.7019300000001
BTC,2014-01-04,813.31748,804.02719,839.85833,798.11833,803.0189285714287
BTC,2014-01-05,871.11583,813.31748,873.98,808.71666,817.5928342857143
BTC,2014-01-05,871.11583,813.31748,873.98,808.71666,827.1769257142857
BTC,2014-01-05,871.11583,813.31748,873.98,808.71666,836.7610171428571
BTC,2014-01-06,970.65083,871.11583,972.00354,861.25831,860.5643942857142
BTC,2014-01-06,970.65083,871.11583,972.00354,861.25831,883.0405871428571
BTC,2014-01-06,970.65083,871.11583,972.00354,861.25831,905.51678
BTC,2014-01-07,962.46447,970.65083,1023.16666,914.76666,926.8234928571428
BTC,2014-01-07,962.46447,970.65083,1023.16666,914.76666,939.8732985714286
BTC,2014-01-07,962.46447,970.65083,1023.16666,914.76666,952.9231042857143
BTC,2014-01-08,855.75933,962.46447,970.22516,788.70166,950.7293185714286
BTC,2014-01-08,855.75933,962.46447,970.22516,788.70166,934.316247142857
